id,name,directorateid,code,validfrom,validto
1,Strategy and Policy,5,BFSTRP,,
2,People Capability,5,BFPPLC,,
3,Business Planning,5,BFBPLN,,
4,Industry Partnerships,5,BFINDPAR,,
5,Transformation and Change,5,BFTRANCH,,
6,BF EU Exit Policy,4,BFEUP,,
7,BF EU Exit Delivery,4,BFEUD,,
8,EU Exit Systems and Contingencies,3,BFEUX,,
9,Data Protection Assurance,3,BFGDPR,,
10,Architecture and Engineering,3,BFARCHEN,,
11,Border Systems Technology Projects,6,BFBSTP,,
12,Digital Passenger Services,3,BFDIGPAS,,
13,Crossing The Border,3,BFCRSBR,,
14,Border Systems Portfolio,3,BFBSYSP,,
15,Digital Services at the Border,6,DDATDSER,,
16,Detection Services,3,BFDETSER,,
17,Intelligence,2,BFINTEL,,
18,South East and Europe,2,BFSEEU,,
19,Heathrow,2,BFHROW,,
20,National Operations,2,BFNATOPS,,
21,South,2,BFSOUTH,,
22,North,2,BFNORTH,,
23,Central,2,BFCENT,,
24,Logistics,2,BFLOGIST,,
